Expt,Run,Speed,Bin
1,1,850,800-899
1,2,740,0-799
1,3,900,900-2000
1,4,1070,900-2000
1,5,930,900-2000
1,6,850,800-899
1,7,950,900-2000
1,8,980,900-2000
1,9,980,900-2000
1,10,880,800-899
1,11,1000,900-2000
1,12,980,900-2000
1,13,930,900-2000
1,14,650,0-799
1,15,760,0-799
1,16,810,800-899
1,17,1000,900-2000
1,18,1000,900-2000
1,19,960,900-2000
1,20,960,900-2000
2,1,960,900-2000
2,2,940,900-2000
2,3,960,900-2000
2,4,940,900-2000
2,5,880,800-899
2,6,800,800-899
2,7,850,800-899
2,8,880,800-899
2,9,900,900-2000
2,10,840,800-899
2,11,830,800-899
2,12,790,0-799
2,13,810,800-899
2,14,880,800-899
2,15,880,800-899
2,16,830,800-899
2,17,800,800-899
2,18,790,0-799
2,19,760,0-799
2,20,800,800-899
3,1,880,800-899
3,2,880,800-899
3,3,880,800-899
3,4,860,800-899
3,5,720,0-799
3,6,720,0-799
3,7,620,0-799
3,8,860,800-899
3,9,970,900-2000
3,10,950,900-2000
3,11,880,800-899
3,12,910,900-2000
3,13,850,800-899
3,14,870,800-899
3,15,840,800-899
3,16,840,800-899
3,17,850,800-899
3,18,840,800-899
3,19,840,800-899
3,20,840,800-899
4,1,890,800-899
4,2,810,800-899
4,3,810,800-899
4,4,820,800-899
4,5,800,800-899
4,6,770,0-799
4,7,760,0-799
4,8,740,0-799
4,9,750,0-799
4,10,760,0-799
4,11,910,900-2000
4,12,920,900-2000
4,13,890,800-899
4,14,860,800-899
4,15,880,800-899
4,16,720,0-799
4,17,840,800-899
4,18,850,800-899
4,19,850,800-899
4,20,780,0-799
5,1,890,800-899
5,2,840,800-899
5,3,780,0-799
5,4,810,800-899
5,5,760,0-799
5,6,810,800-899
5,7,790,0-799
5,8,810,800-899
5,9,820,800-899
5,10,850,800-899
5,11,870,800-899
5,12,870,800-899
5,13,810,800-899
5,14,740,0-799
5,15,810,800-899
5,16,940,900-2000
5,17,950,900-2000
5,18,800,800-899
5,19,810,800-899
5,20,870,800-899
